id,Course,Hole,par,yardage,fun,difficulty,maintenance,city,state,postalCode,photo,thumbnail,description
arcadian-shores-golf-club-at-myrtle-beach-hilton-17,Arcadian Shores Golf Club at Myrtle Beach Hilton,17,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-18,Arcadian Shores Golf Club at Myrtle Beach Hilton,18,,,,,,Myrtle Beach,,29577,,,
argent-lakes-golf-club-1,Argent Lakes Golf Club,1,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-2,Argent Lakes Golf Club,2,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-3,Argent Lakes Golf Club,3,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-4,Argent Lakes Golf Club,4,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-5,Argent Lakes Golf Club,5,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-6,Argent Lakes Golf Club,6,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-7,Argent Lakes Golf Club,7,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-8,Argent Lakes Golf Club,8,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-9,Argent Lakes Golf Club,9,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-10,Argent Lakes Golf Club,10,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-11,Argent Lakes Golf Club,11,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-12,Argent Lakes Golf Club,12,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-13,Argent Lakes Golf Club,13,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-14,Argent Lakes Golf Club,14,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-15,Argent Lakes Golf Club,15,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-16,Argent Lakes Golf Club,16,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-17,Argent Lakes Golf Club,17,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-18,Argent Lakes Golf Club,18,,,,,,Hardeeville,,29927,,,
arrowhead-country-club-1,Arrowhead Country Club,1,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-2,Arrowhead Country Club,2,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-3,Arrowhead Country Club,3,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-4,Arrowhead Country Club,4,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-5,Arrowhead Country Club,5,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-6,Arrowhead Country Club,6,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-7,Arrowhead Country Club,7,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-8,Arrowhead Country Club,8,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-9,Arrowhead Country Club,9,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-10,Arrowhead Country Club,10,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-11,Arrowhead Country Club,11,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-12,Arrowhead Country Club,12,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-13,Arrowhead Country Club,13,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-14,Arrowhead Country Club,14,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-15,Arrowhead Country Club,15,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-16,Arrowhead Country Club,16,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-17,Arrowhead Country Club,17,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-18,Arrowhead Country Club,18,,,,,,Myrtle Beach,,29579,,,
azalea-sands-golf-course-1,Azalea Sands Golf Course,1,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-2,Azalea Sands Golf Course,2,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-3,Azalea Sands Golf Course,3,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-4,Azalea Sands Golf Course,4,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-5,Azalea Sands Golf Course,5,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-6,Azalea Sands Golf Course,6,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-7,Azalea Sands Golf Course,7,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-8,Azalea Sands Golf Course,8,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-9,Azalea Sands Golf Course,9,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-10,Azalea Sands Golf Course,10,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-11,Azalea Sands Golf Course,11,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-12,Azalea Sands Golf Course,12,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-13,Azalea Sands Golf Course,13,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-14,Azalea Sands Golf Course,14,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-15,Azalea Sands Golf Course,15,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-16,Azalea Sands Golf Course,16,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-17,Azalea Sands Golf Course,17,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-18,Azalea Sands Golf Course,18,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-1,Barefoot Resort & Golf - Fazio Course,1,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-2,Barefoot Resort & Golf - Fazio Course,2,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-3,Barefoot Resort & Golf - Fazio Course,3,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-4,Barefoot Resort & Golf - Fazio Course,4,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-5,Barefoot Resort & Golf - Fazio Course,5,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-6,Barefoot Resort & Golf - Fazio Course,6,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-7,Barefoot Resort & Golf - Fazio Course,7,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-8,Barefoot Resort & Golf - Fazio Course,8,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-9,Barefoot Resort & Golf - Fazio Course,9,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-10,Barefoot Resort & Golf - Fazio Course,10,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-11,Barefoot Resort & Golf - Fazio Course,11,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-12,Barefoot Resort & Golf - Fazio Course,12,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-13,Barefoot Resort & Golf - Fazio Course,13,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-14,Barefoot Resort & Golf - Fazio Course,14,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-15,Barefoot Resort & Golf - Fazio Course,15,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-16,Barefoot Resort & Golf - Fazio Course,16,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-17,Barefoot Resort & Golf - Fazio Course,17,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-fazio-course-18,Barefoot Resort & Golf - Fazio Course,18,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-1,Barefoot Resort & Golf - Love Course,1,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-2,Barefoot Resort & Golf - Love Course,2,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-3,Barefoot Resort & Golf - Love Course,3,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-4,Barefoot Resort & Golf - Love Course,4,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-5,Barefoot Resort & Golf - Love Course,5,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-6,Barefoot Resort & Golf - Love Course,6,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-7,Barefoot Resort & Golf - Love Course,7,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-8,Barefoot Resort & Golf - Love Course,8,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-9,Barefoot Resort & Golf - Love Course,9,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-10,Barefoot Resort & Golf - Love Course,10,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-11,Barefoot Resort & Golf - Love Course,11,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-12,Barefoot Resort & Golf - Love Course,12,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-13,Barefoot Resort & Golf - Love Course,13,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-14,Barefoot Resort & Golf - Love Course,14,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-15,Barefoot Resort & Golf - Love Course,15,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-16,Barefoot Resort & Golf - Love Course,16,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-17,Barefoot Resort & Golf - Love Course,17,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-love-course-18,Barefoot Resort & Golf - Love Course,18,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-1,Barefoot Resort & Golf - Norman Course,1,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-2,Barefoot Resort & Golf - Norman Course,2,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-3,Barefoot Resort & Golf - Norman Course,3,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-4,Barefoot Resort & Golf - Norman Course,4,,,,,,North Myrtle Beach,,29582,,,
